aisatsu_asa	挨拶・朝
aisatsu_hiru	挨拶・昼
aisatsu_yoru	挨拶・夜
aisatsu_joke	挨拶・ジョーク
aisatsu_kantanshi	挨拶・感嘆詞
aisatsu_eigo	挨拶・英語
aisatsu_aiduchi	挨拶・相づち
q_status_zenpan	質問・状態・全般
q_status_ondo	質問・状態・温度
q_status_ichi	質問・状態・位置
q_status_denryoku	質問・状態・電力
q_status_kibun	質問・状態・気分
q_status_kikan	質問・状態・期間
q_status_tsushin	質問・状態・通信
q_rsp	質問・rsp
q_00_mission	質問・RSP-00・ミッション
q_01_mission	質問・RSP-01・ミッション
q_01_shisei	質問・RSP-01・姿勢制御
q_01_kido	質問・RSP-01・軌道
q_01_tsushin	質問・RSP-01・通信
q_01_shiyo	質問・RSP-01・仕様
q_01_syashin	質問・RSP-01・写真
q_02_mission	質問・RSP-02・ミッション
q_keshiki_uchu	質問・景色・宇宙
q_keshiki_tikyu	質問・景色・地球
q_konomi	質問・好み
q_yume	質問・夢
q_sonota	質問・その他
kanso_oen	感想・応援
kanso_home	感想・褒め
kanso_ganbo	感想・願望
kanso_ikari	感想・怒り
zatsudan_omikuji	雑談・おみくじ
zatsudan_itazura	雑談・いたずら
zatsudan_tenki	雑談・天気
zatsudan_jikan	雑談・時間
zatsudan_tanjobi	雑談・誕生日
zatsudan_uchu_rocket	雑談・宇宙・ロケット
zatsudan_uchu_hikoshi	雑談・宇宙・宇宙飛行士
zatsudan_uchu_meigen	雑談・宇宙・名言
zatsudan_tomodachi	雑談・友達
